CustomerID,CustomerName,City,CustomerSegment
1,Customer 001,Delhi,Small Business
2,Customer 002,Chennai,Corporate
3,Customer 003,Delhi,Consumer
4,Customer 004,Bangalore,Small Business
5,Customer 005,Delhi,Corporate
6,Customer 006,Delhi,Corporate
7,Customer 007,Delhi,Consumer
8,Customer 008,Pune,Consumer
9,Customer 009,Kochi,Consumer
10,Customer 010,Pune,Small Business
11,Customer 011,Hyderabad,Consumer
12,Customer 012,Delhi,Consumer
13,Customer 013,Mumbai,Consumer
14,Customer 014,Kochi,Corporate
15,Customer 015,Mumbai,Consumer
16,Customer 016,Mumbai,Small Business
17,Customer 017,Bangalore,Corporate
18,Customer 018,Chennai,Corporate
19,Customer 019,Chennai,Consumer
20,Customer 020,Bangalore,Corporate
21,Customer 021,Kochi,Corporate
22,Customer 022,Pune,Corporate
23,Customer 023,Pune,Consumer
24,Customer 024,Kochi,Consumer
25,Customer 025,Delhi,Consumer
26,Customer 026,Mumbai,Consumer
27,Customer 027,Bangalore,Consumer
28,Customer 028,Delhi,Consumer
29,Customer 029,Mumbai,Consumer
30,Customer 030,Pune,Corporate
31,Customer 031,Mumbai,Consumer
32,Customer 032,Mumbai,Small Business
33,Customer 033,Bangalore,Corporate
34,Customer 034,Mumbai,Consumer
35,Customer 035,Delhi,Corporate
36,Customer 036,Hyderabad,Consumer
37,Customer 037,Mumbai,Small Business
38,Customer 038,Bangalore,Consumer
39,Customer 039,Hyderabad,Corporate
40,Customer 040,Kochi,Consumer
41,Customer 041,Kolkata,Consumer
42,Customer 042,Chennai,Consumer
43,Customer 043,Hyderabad,Small Business
44,Customer 044,Kochi,Corporate
45,Customer 045,Kolkata,Consumer
46,Customer 046,Delhi,Consumer
47,Customer 047,Bangalore,Consumer
48,Customer 048,Chennai,Corporate
49,Customer 049,Delhi,Consumer
50,Customer 050,Bangalore,Consumer
51,Customer 051,Delhi,Small Business
52,Customer 052,Hyderabad,Small Business
53,Customer 053,Kolkata,Consumer
54,Customer 054,Hyderabad,Corporate
55,Customer 055,Kochi,Consumer
56,Customer 056,Pune,Corporate
57,Customer 057,Chennai,Consumer
58,Customer 058,Mumbai,Corporate
59,Customer 059,Mumbai,Corporate
60,Customer 060,Delhi,Corporate
61,Customer 061,Kolkata,Consumer
62,Customer 062,Pune,Small Business
63,Customer 063,Kochi,Consumer
64,Customer 064,Kochi,Consumer
65,Customer 065,Kochi,Corporate
66,Customer 066,Delhi,Consumer
67,Customer 067,Hyderabad,Small Business
68,Customer 068,Chennai,Small Business
69,Customer 069,Hyderabad,Consumer
70,Customer 070,Bangalore,Small Business
71,Customer 071,Bangalore,Consumer
72,Customer 072,Bangalore,Corporate
73,Customer 073,Delhi,Consumer
74,Customer 074,Pune,Small Business
75,Customer 075,Pune,Consumer
76,Customer 076,Kochi,Consumer
77,Customer 077,Pune,Consumer
78,Customer 078,Chennai,Small Business
79,Customer 079,Kolkata,Small Business
80,Customer 080,Mumbai,Corporate
81,Customer 081,Kolkata,Small Business
82,Customer 082,Chennai,Small Business
83,Customer 083,Kochi,Corporate
84,Customer 084,Pune,Consumer
85,Customer 085,Kochi,Corporate
86,Customer 086,Kochi,Corporate
87,Customer 087,Chennai,Consumer
88,Customer 088,Kochi,Consumer
89,Customer 089,Chennai,Corporate
90,Customer 090,Hyderabad,Consumer
91,Customer 091,Pune,Small Business
92,Customer 092,Pune,Consumer
93,Customer 093,Mumbai,Consumer
94,Customer 094,Hyderabad,Small Business
95,Customer 095,Kolkata,Consumer
96,Customer 096,Bangalore,Consumer
97,Customer 097,Hyderabad,Corporate
98,Customer 098,Bangalore,Small Business
99,Customer 099,Hyderabad,Consumer
100,Customer 100,Kolkata,Consumer
